Name,Caliber,status,Height,position,weight,rank,homeTown,Speed(base),Strength(base),Agility(base),Acceleration(base),Jumping(base),Awareness(base),Stamina(base),Injury(base),"Break Tackle(rushing)",Trucking(rushing),Elusiveness(rushing),"Stiff Arm(rushing)","Spin Move(rushing)","Juke Move(rushing)",Carrying(rushing),"Ball Carrier Vision(rushing)","Pass Block(blocking)","Run Block(blocking)","Impact Blocking(blocking)",Catching(receiving),"Spectacular Catch(receiving)","Catch In Traffic(receiving)","Route Running(receiving)",Release(receiving),Tackle(tackling),"Hit Power(tackling)",Pursuit(tackling),"Play Recognition(tackling)","Power Moves(blockingShedding)","Finesse Moves(blockingShedding)","Block Shedding(blockingShedding)","Man Coverage(coverage)","Zone Coverage(coverage)",Press(coverage),"Throw Power(passing)","Throw Accuracy(passing)","Kick Power(kicking)","Kick Accuracy(kicking)","School 1","School 2","School 3","School 4","School 5","School 6","School 7","School 8","School 9","School 10"
"Thomas Terrell",5,"10 Schools Remaining","5'10""",MLB,"239 lbs",1,"La Puente",B,C,D,A,B,,B,B,,,,,,,,,,,,,,,,,A,B,D,B,D,B,C,C,C,D,,,,,Alabama,"Arizona State",USC,Rutgers,Oklahoma,Cal,SMU,Illinois,Syracuse,Arizona
"Brent Wright",5,"10 Schools Remaining","6'8""",T,"303 lbs",2,Berkeley,D,B,D,A,D,,D,A,,,,,,,,,B,B,B,,,,,,,,,,,,,,,,,,,,Cal,Oregon,Auburn,,Rutgers,"Boston College",Arizona,Arkansas,,BYU
"Zac Foreman",5,"10 Schools Remaining","6'0""",WR,"202 lbs",3,Statesboro,A,D,C,B,B,,C,C,D,D,D,D,D,C,C,D,,,,B,D,C,A,C,,,,,,,,,,,,,,,Alabama,Virginia,SMU,Cal,"Notre Dame","Boston College",USC,"Boise State",Cincinnati,UCF
"Willis Turner",5,"10 Schools Remaining","6'1""",WR,"181 lbs",4,Sedalia,A,D,B,B,B,,C,C,D,D,D,D,D,D,C,C,,,,B,B,C,A,C,,,,,,,,,,,,,,,Oklahoma,"Notre Dame",Wisconsin,Nevada,SMU,"Boise State","Northern Illinois",Clemson,Auburn,Missouri
"Matt Johnson",5,"10 Schools Remaining","6'3""",G,"280 lbs",5,"San Benito",C,A,C,A,D,,C,B,,,,,,,,,B,B,B,,,,,,,,,,,,,,,,,,,,Rutgers,Oklahoma,Alabama,Arizona,Clemson,,Pittsburgh,Arkansas,BYU,
"Courtney Hinds",5,"10 Schools Remaining","6'2""",ATH,"183 lbs",6,Northbrook,A,D,C,A,B,,C,B,D,D,D,D,D,D,D,D,,,,C,B,D,C,C,D,D,C,B,D,D,D,A,B,B,D,D,,,Rutgers,"Ohio State",Alabama,Georgia,USC,Cal,Houston,"Boise State",Clemson,
"Devon Smith",5,"10 Schools Remaining","6'0""",ATH,"201 lbs",7,"El Centro",A,D,D,C,A,,B,B,B,D,B,C,B,B,B,C,,,,B,D,D,C,C,D,D,D,D,D,D,D,D,D,D,B,B,,,Oregon,"Notre Dame",USC,Cal,Oklahoma,"Boise State",Rutgers,"Texas A&M",,"Penn State"
"Kyle Stone",5,"10 Schools Remaining","6'3""",ATH,"198 lbs",8,Valencia,A,D,B,A,B,,B,B,D,D,C,D,B,D,C,D,,,,B,B,D,C,B,D,D,C,C,D,D,D,B,B,C,B,C,,,"Arizona State",Cal,"Michigan State",Michigan,Syracuse,Georgia,Nebraska,Houston,"Boise State",
"Tommy Hamby",5,"10 Schools Remaining","6'4""",G,"266 lbs",9,"Fort Bliss",D,B,B,B,D,,D,B,,,,,,,,,B,B,D,,,,,,,,,,,,,,,,,,,,USC,Georgia,Oklahoma,SMU,Arizona,Rutgers,Clemson,Arkansas,BYU,
"Todd Daniels",5,"10 Schools Remaining","6'4""",OLB,"217 lbs",10,"Lake City",B,C,D,A,B,,C,A,,,,,,,,,,,,,,,,,B,B,B,B,C,C,B,D,D,C,,,,,Rutgers,USC,Baylor,Alabama,"Boston College",,Florida,,,
