Name,Position,Team,Attempts,Completion,Interception,"Touch Downs",Yards,Fumbles,Long,Catches,Team,FGA,FGS,XPA,Points,XPA,XPM,FF,FR,INT,Sacks,"Tackles For Loss",Tackles
"Bobby Garcia",QB,Cal,29,18,5,2,343,,,,,,,,,,,,5,,,
"Ryan Watson",QB,"South Carolina",28,13,2,4,309,,,,,,,,,,,,2,,,
"Mike Berry",QB,Arkansas,32,15,2,3,276,,,,,,,,,,,,2,,,
"Cody Hall",QB,LSU,32,18,1,3,275,,,,,,,,,,,,1,,,
"Travis Henry",QB,Northwestern,27,15,1,2,231,,,,,,,,,,,,1,,,
"Matt Saracen",QB,Pittsburgh,9,6,1,2,202,,,,,,,,,,,,1,,,
"Brian Walker",QB,Tennessee,28,11,1,2,201,,,,,,,,,,,,1,,,
"Alex Moran",QB,SMU,17,13,0,3,198,,,,,,,,,,,,0,,,
"Tye Rodgers",QB,Miami,11,6,1,1,186,,,,,,,,,,,,1,,,
"Matt Schultz",QB,Vanderbilt,30,12,3,0,184,,,,,,,,,,,,3,,,
"Dustin Silva",QB,"Texas A&M",24,12,0,4,176,,,,,,,,,,,,0,,,
"Bryan Williams",QB,"Mississippi State",18,7,0,4,145,,,,,,,,,,,,0,,,
"Derek Adams",QB,Alabama,25,13,4,1,144,,,,,,,,,,,,4,,,
"Terry Oliver",QB,Georgia,27,12,3,0,121,,,,,,,,,,,,3,,,
"Marcus Ramirez",QB,Illinois,15,6,1,0,105,,,,,,,,,,,,1,,,
"Shane Cooper",QB,"Mississippi State",14,8,2,0,98,,,,,,,,,,,,2,,,
"Corey Atkinson",QB,Maryland,9,5,0,1,81,,,,,,,,,,,,0,,,
"Mark Bonds",QB,Kentucky,20,7,1,1,78,,,,,,,,,,,,1,,,
"Kory Richardson",QB,"Notre Dame",11,5,1,0,75,,,,,,,,,,,,1,,,
"Dustin Holley",QB,"Kent State",24,8,0,1,74,,,,,,,,,,,,0,,,
"Rory Boone",QB,Kentucky,14,3,1,0,54,,,,,,,,,,,,1,,,
"Bill Holt",QB,"Air Force",9,4,0,0,43,,,,,,,,,,,,0,,,
"Allen Livingston",QB,"Air Force",5,2,0,0,20,,,,,,,,,,,,0,,,
"Ethan Rutledge",QB,"Kent State",5,3,0,1,19,,,,,,,,,,,,0,,,
"John Newsome",QB,Tennessee,3,2,0,0,18,,,,,,,,,,,,0,,,
"Brian Smash",HB,Pittsburgh,22,,,4,245,1,78,,,,,,,,,,,,,
"Jeremy Atkins",HB,Illinois,21,,,2,170,0,75,,,,,,,,,,,,,
"Adam Haumiller",HB,Miami,23,,,2,166,1,47,,,,,,,,,,,,,
"Amir Hughes",HB,"Mississippi State",19,,,0,139,0,15,,,,,,,,,,,,,
"Josh Fry",HB,"Air Force",22,,,2,115,0,9,,,,,,,,,,,,,
"Joseph Martin",HB,Kentucky,15,,,0,108,0,18,,,,,,,,,,,,,
"Andy Porter",HB,SMU,19,,,1,104,0,48,,,,,,,,,,,,,
"Ben Sims",HB,Northwestern,14,,,0,104,0,20,,,,,,,,,,,,,
"DeMarcus Blanco",HB,Maryland,12,,,1,100,0,39,,,,,,,,,,,,,
"Derek Smith",HB,Alabama,15,,,1,95,0,12,,,,,,,,,,,,,
"Roderick Chase",HB,Tennessee,15,,,2,94,0,13,,,,,,,,,,,,,
"Stewart Cooper",HB,Northwestern,11,,,2,83,0,12,,,,,,,,,,,,,
"Christian Stephens",HB,Tennessee,19,,,1,83,0,15,,,,,,,,,,,,,
"Rob Stewart",HB,Arkansas,15,,,1,83,1,12,,,,,,,,,,,,,
"Drew Davis",HB,"Air Force",24,,,2,79,0,8,,,,,,,,,,,,,
"Todd O'Neal",HB,Georgia,16,,,1,78,0,12,,,,,,,,,,,,,
"Tony Newton",HB,"Kent State",18,,,0,75,0,12,,,,,,,,,,,,,
"Joel Salyer",HB,"South Carolina",13,,,1,75,1,12,,,,,,,,,,,,,
"J.J. Hart",HB,"Mississippi State",11,,,0,67,0,13,,,,,,,,,,,,,
"Matt Prince",HB,"Texas A&M",10,,,1,66,0,11,,,,,,,,,,,,,
"Elliot Larkin",HB,LSU,15,,,0,66,0,12,,,,,,,,,,,,,
"Terry Jackson",HB,"Texas A&M",14,,,0,61,0,10,,,,,,,,,,,,,
"Art Morse",HB,Vanderbilt,15,,,0,60,0,10,,,,,,,,,,,,,
"Dustin Silva",QB,"Texas A&M",9,,,0,58,0,20,,,,,,,,,,,,,
"Tyler Scott",HB,Alabama,8,,,0,51,0,15,,,,,,,,,,,,,
"Brad Cleveland",WR,"Mississippi State",,,,2,182,,78,7,,,,,,,,,,,,
"Brandon Cameron",TE,"South Carolina",,,,3,177,,58,6,,,,,,,,,,,,
"Jake Lawson",WR,Cal,,,,2,133,,62,4,,,,,,,,,,,,
"Darren Leierer",WR,Pittsburgh,,,,2,126,,75,2,,,,,,,,,,,,
"Kendrick Jefferson",TE,LSU,,,,1,122,,54,5,,,,,,,,,,,,
"Kevin Murphy",WR,Vanderbilt,,,,0,119,,29,11,,,,,,,,,,,,
"Adam Moore",WR,Miami,,,,1,102,,89,2,,,,,,,,,,,,
"Jordan Finley",WR,Northwestern,,,,1,99,,59,4,,,,,,,,,,,,
"Jeff Robinson",WR,Arkansas,,,,0,99,,55,5,,,,,,,,,,,,
"Stephen Patton",WR,Cal,,,,0,87,,64,4,,,,,,,,,,,,
"Joel Salyer",HB,"South Carolina",,,,1,86,,27,4,,,,,,,,,,,,
"Jeff Thorne",TE,Northwestern,,,,0,79,,34,4,,,,,,,,,,,,
"Jim Barnes",TE,Tennessee,,,,0,77,,51,5,,,,,,,,,,,,
"Hayden Benson",WR,Arkansas,,,,0,70,,62,3,,,,,,,,,,,,
"Eugene Wilson",WR,Kentucky,,,,1,66,,35,6,,,,,,,,,,,,
"Lamar Rouse",TE,Arkansas,,,,1,66,,44,4,,,,,,,,,,,,
"Josh Williams",WR,Vanderbilt,,,,0,65,,65,1,,,,,,,,,,,,
"Chad Gray",WR,Cal,,,,0,65,,21,4,,,,,,,,,,,,
"Brandon The Bandit",WR,SMU,,,,1,62,,12,7,,,,,,,,,,,,
"Danny Daniel",WR,"Notre Dame",,,,0,61,,29,3,,,,,,,,,,,,
"Jeff Miller",WR,SMU,,,,1,61,,61,1,,,,,,,,,,,,
"Chester Daniels",TE,SMU,,,,1,59,,21,3,,,,,,,,,,,,
"Jason Jackson",WR,Alabama,,,,1,55,,32,5,,,,,,,,,,,,
"Andre Tucker",WR,LSU,,,,1,55,,30,4,,,,,,,,,,,,
"Joey Lawrence",TE,"Kent State",,,,1,54,,26,5,,,,,,,,,,,,
"John Jones",K,LSU,,,,,,,31,,3,3,5,14,5,5,,,,,,
"Mark Williams",K,Northwestern,,,,,,,23,,3,2,4,10,4,4,,,,,,
"John Andrews",K,Maryland,,,,,,,41,,2,2,4,10,4,4,,,,,,
"Harmon Tedesco",K,SMU,,,,,,,41,,2,2,2,8,2,2,,,,,,
"David Reed",K,"South Carolina",,,,,,,44,,1,1,5,8,5,5,,,,,,
"Justin Harris",K,"Texas A&M",,,,,,,25,,1,1,5,8,5,5,,,,,,
"Antonio Hart",P,Illinois,,,,,,,57,,2,2,2,8,2,2,,,,,,
"Andrew Weber",K,"Air Force",,,,,,,25,,1,1,4,7,4,4,,,,,,
"Lance Ratliff",K,Arkansas,,,,,,,20,,2,1,4,7,4,4,,,,,,
"Shawn Harrison",K,Pittsburgh,,,,,,,0,,0,0,7,7,7,7,,,,,,
"Mike Holt",K,Tennessee,,,,,,,0,,0,0,6,6,6,6,,,,,,
"Tyree Campbell",K,Kentucky,,,,,,,38,,1,1,2,5,2,2,,,,,,
"Steven Walden",K,"Kent State",,,,,,,26,,2,1,2,5,2,2,,,,,,
"Howard Bostic",K,"Mississippi State",,,,,,,0,,1,0,5,5,5,5,,,,,,
"James Rouse",K,Alabama,,,,,,,44,,1,1,2,5,2,2,,,,,,
"Tim Thompson",K,Cal,,,,,,,0,,0,0,4,4,4,4,,,,,,
"Bernard Prater",K,"Notre Dame",,,,,,,38,,1,1,0,3,0,0,,,,,,
"Mark Bush",K,Vanderbilt,,,,,,,46,,2,1,0,3,0,0,,,,,,
"Eddy Buckets",K,Miami,,,,,,,0,,1,0,2,2,2,2,,,,,,
"Tyler Marshall",P,Miami,,,,,,,0,,1,0,1,1,1,1,,,,,,
