WeekNum,HomeTeam,AwayTeam,HomeScore,AwayScore,Q1Home,Q1Away,Q2Home,Q2Away,Q3Home,Q3Away,Q4Home,Q4Away,OTHome,OTAway
"Week 1","Mississippi State","Kent State",35,25,7,0,21,7,7,3,0,15,0,0
"Week 1",Kentucky,"Air Force",17,31,0,14,0,7,3,10,14,0,0,0
"Week 1","Notre Dame",SMU,3,36,0,10,0,3,3,7,0,16,0,0
"Week 1","Texas A&M",Alabama,38,17,7,0,10,0,21,0,0,17,0,0
"Week 1",LSU,"South Carolina",44,38,10,0,10,14,14,10,10,14,0,0
"Week 1",Vanderbilt,Tennessee,3,42,0,7,0,14,3,7,0,14,0,0
"Week 1",Miami,Georgia,21,7,7,0,7,0,7,0,0,7,0,0
"Week 1",Arkansas,Northwestern,31,34,10,3,7,10,7,14,7,7,0,0
"Week 1",Cal,Maryland,28,34,7,14,7,10,7,7,7,3,0,0
"Week 1",Illinois,Pittsburgh,28,49,11,14,10,14,0,0,7,21,0,0
"Week 2",TCU,"FCS Midwest",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Western Kentucky","Bowling Green",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Connecticut,"FCS Southeast",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Houston,UTSA,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Duke,Kansas,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Clemson,"Central Michigan",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Akron,Marshall,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Virginia Tech",ECU,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Penn State",Temple,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Arkansas State",Nevada,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Oklahoma,"FCS East",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Texas Tech","FCS East",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",FIU,"FCS West",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Virginia,"Florida State",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Michigan,Cal,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Georgia,UCF,27,15,0,0,13,7,7,0,7,8,0,0
"Week 2","Mid Tenn State","Ball State",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Western Michigan","FCS East",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","UL Lafayette","FCS East",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Utah State","FCS Midwest",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Ohio State","Notre Dame",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Ole Miss",Purdue,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Tennessee,Texas,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Miami University",Minnesota,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Washington,Stanford,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Fresno State","Southern Miss",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Eastern Michigan",USF,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Rutgers,Syracuse,45,17,7,7,14,0,14,7,10,3,0,0
"Week 2",Arizona,"FCS East",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","New Mexico State","FCS Midwest",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Oklahoma State","FCS West",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","North Carolina","FCS Northwest",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Memphis,"FCS Southeast",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Utah,"FCS Southeast",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Kent State",Army,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Wyoming,"Florida Atlantic",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Iowa State",Toledo,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Illinois,SMU,13,10,3,7,0,0,0,3,10,0,0,0
"Week 2",Tulane,"Georgia Tech",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Washington State",Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",UAB,Troy,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Rice,"Wake Forest",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Florida,LSU,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Baylor,USC,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Northern Illinois",Idaho,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Kansas State","FCS Midwest",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","Texas State","FCS West",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Colorado,Hawai'i,0,0,0,0,0,0,0,0,0,0,0,0
"Week 2","San Diego State","San Jose State",0,0,0,0,0,0,0,0,0,0,0,0
"Week 2",Alabama,Maryland,7,17,0,7,0,3,7,0,0,7,0,0
"Week 2","South Carolina",Miami,10,16,0,0,3,10,0,0,7,6,0,0
